pais,poblacion,lat,long
Afganistán,29.121.286,33.0000000,65.0000000
Albania,2.986.952,41.3333333,19.8166667
Alemania,81.802.257,51.0000000,9.0000000
Andorra,84.000,42.5000000,1.6000000
Angola,13.068.161,-12.5000000,18.5000000
Anguila,N/S,18.2500000,-63.1667000
Antigua y Barbuda,86.754,17.0500000,-61.8000000
Antillas Neerlandesas,N/S,12.2500000,-68.7500000
Arabia Saudita,25.731.776,25.0000000,45.0000000
Argelia,34.586.184,28.0000000,3.0000000
Argentina,41.343.201,-34.0000000,-64.0000000
Armenia,2.968.000,40.0000000,45.0000000
Aruba,N/S,12.5000000,-69.9667000
Australia,21.515.754,-27.0000000,133.0000000
Austria,8.205.000,47.3333000,13.3333000
Azerbaiyán,8.303.512,40.5000000,47.5000000
Bahamas,301.790,24.2500000,-76.0000000
Bangladés,156.118.464,24.0000000,90.0000000
Barbados,285.653,13.1667000,-59.5333000
Baréin,738.004,26.0000000,50.5500000
Bélgica,10.403.000,50.8333000,4.0000000
Belice,314.522,17.2500000,-88.7500000
Benín,9.056.010,9.5000000,2.2500000
Bermudas,N/S,32.3333000,-64.7500000
Bielorrusia,9.685.000,53.0000000,28.0000000
Birmania,53.414.374,22.0000000,98.0000000
Bolivia,9.947.418,-17.0000000,-65.0000000
Bosnia y Herzegovina,4.590.000,44.0000000,18.0000000
Botsuana,2.029.307,-22.0000000,24.0000000
Brasil,201.103.330,-10.0000000,-55.0000000
Brunéi,395.027,4.5000000,114.6667000
Bulgaria,7.148.785,43.0000000,25.0000000
Burkina Faso,16.241.811,13.0000000,-2.0000000
Burundi,9.863.117,-3.5000000,30.0000000
Bután,699.847,27.5000000,90.5000000
Cabo Verde,508.659,16.0000000,-24.0000000
Camboya,14.453.680,13.0000000,105.0000000
Camerún,19.294.149,6.0000000,12.0000000
Canadá,33.679.000,60.0000000,-95.0000000
Catar,840.926,25.5000000,51.2500000
Chad,10.543.464,15.0000000,19.0000000
Chile,16.746.491,-30.0000000,-71.0000000
China,1.330.044.000,35.0000000,105.0000000
Chipre,1.102.677,35.0000000,33.0000000
Ciudad del Vaticano,921,41.9000000,12.4500000
Colombia,47.790.000,4.0000000,-72.0000000
Comoras,773.407,-12.1667000,44.2500000
Corea del Norte,22.912.177,40.0000000,127.0000000
Corea del Sur,48.422.644,37.0000000,127.5000000
Costa de Marfil,21.058.798,8.0000000,-5.0000000
Costa Rica,4.516.220,10.0000000,-84.0000000
Croacia,4.491.000,45.1667000,15.5000000
Cuba,11.423.000,21.5000000,-80.0000000
Dinamarca,5.484.000,56.0000000,10.0000000
Dominica,72.813,15.4167000,-61.3333000
Ecuador,14.790.608,-2.0000000,-77.5000000
Egipto,80.471.869,27.0000000,30.0000000
El Salvador,6.052.064,13.8333000,-88.9167000
Emiratos Árabes Unidos,4.975.593,24.0000000,54.0000000
Eritrea,5.792.984,15.0000000,39.0000000
Eslovaquia,5.455.000,48.6667000,19.5000000
Eslovenia,2.007.000,46.0000000,15.0000000
España,46.505.963,40.0000000,-4.0000000
Estado de Palestina,N/S,32.0000000,35.2500000
Estados Unidos,310.232.863,38.0000000,-97.0000000
Estonia,1.291.170,59.0000000,26.0000000
Etiopía,88.013.491,8.0000000,38.0000000
